name,name:en
潘圆公路收费站,Panyuan Highway Toll Booth
淞沪路政立路,Songhu Road Zhengli Road
市光路政府路,Shiguang Road Zhengfu Road
宁城路国和路,Ningcheng Road Guohe Road
四平路国定路,Siping Road Guoding Road
四平路国权路,Siping Road Guoquan Road
长海医院,Changhai Hospital
长海路黑山路,Changhai Road Heishan Road
四平路赤峰路,Siping Road Chifeng Road
淞沪路民府路,Songhu Road Minfu Road
三门路,Sanmen Road
淞沪路三门路,Songhu Road Sanmen Road
江湾体育场 (原上海市体育场),Jiangwan Stadium (formerly Shanghai Stadium)
孙中山先生铜像 (1937年8月毁),Statue of Sun Yat-sen (Destroyed August 1937)
孙中山先生铜像,Statue of Sun Yat-sen
金海路收费站,Jinhai Road Toll Booth
金海路,Jinhai Road
龙东大道 (1) 收费站,Longdong Avenue (1) Toll Booth
龙东大道 (2) 收费站,Longdong Avenue (2) Toll Booth
龙东大道 (3) 收费站,Longdong Avenue (3) Toll Booth
龙东大道 (4) 收费站,Longdong Avenue (4) Toll Booth
华夏东路 (2) 收费站,East Huaxia Road (2) Toll Booth
华夏东路 (1) 收费站,East Huaxia Road (1) Toll Booth
迎宾高速 (4) 收费站,Yingbin Expressway (4) Toll Booth
迎宾高速 (3) 收费站,Yingbin Expressway (3) Toll Booth
迎宾高速 (2) 收费站,Yingbin Expressway (2) Toll Booth
迎宾高速 (1) 收费站,Yingbin Expressway (1) Toll Booth
四平路,Siping Road
百安居,B & Q China
黄兴路桥,Huangxing Road Bridge
中环路/曲阳路/五角场/翔殷路隧道,Middle Ring Road/Quyang Road/Wujiaochang/Xiangyin Road Tunnel
中环路/翔殷路隧道/军工路隧道,Middle Ring Road/Xiangyin Road Tunnel/Jungong Road Tunnel
中环路/虹桥枢纽,Middle Ring Road/Hongqiao Hub
中山北二路/杨浦大桥,North Zhongshan No. 2 Road/Yangpu Bridge
一号门,Gate 1
二号门,Gate 2
双阳北路国顺东路,North Shuangyang Road East Guoshun Road
安波路沙岗路,Anbo Road Shagang Road
安波路双阳北路,Anbo Road North Shuangyang Road
安波路营口路,Anbo Road Yingkou Road
国顺东路双阳北路,East Guoshun Road North Shuangyang Road
欧尚,Auchan
中原路国和路,Zhongyuan Road Guohe Road
四平路临平北路,Siping Road North Linping Road
四平路大连路,Siping Road Dalian Road
四平路新港路,Siping Road Xingang Road
四平路密云路,Siping Road Miyun Road
四平路溧阳路,Siping Road Liyang Road
吴淞路闵行路,Wusong Road Minhang Road
吴淞路天潼路,Wusong Road Tiantong Road
吴淞路天潼路 (下客站),Wusong Road Tiantong Road (Drop-Off)
周家嘴路新建路,Zhoujiazui Road Xinjian Road
武进路河南北路,Wujin Road North Henan Road
海宁路四川北路,Haining Road North Sichuan Road
武进路乍浦路,Wujin Road Zhapu Road
武进路吴淞路,Wujin Road Wusong Road
周家嘴路高阳路,Zhoujiazui Road Gaoyang Road
周家嘴路公平路,Zhoujiazui Road Gongping Road
大连路周家嘴路,Dalian Road Zhoujiazui Road
周家嘴路保定路,Zhoujiazui Road Baoding Road
大连路新港路,Dalian Road Xingang Road
大连路飞虹路,Dalian Road Feihong Road
控江路鞍山路,Kongjiang Road Anshan Road
霍山路临潼路,Huoshan Road Lintong Road
周家嘴路隆昌路,Zhoujiazui Road Longchang Road
周家嘴路内江路,Zhoujiazui Road Neijiang Road
周家嘴路军工路,Zhoujiazui Road Jungong Road
周家嘴路双阳路,Zhoujiazui Road Shuangyang Road
周家嘴路黄兴路,Zhoujiazui Road Huangxing Road
黄兴路长阳路,Huangxing Road Changyang Road
长阳路兰州路,Changyang Road Lanzhou Road
长阳路江浦路,Changyang Road Jiangpu Road
长阳路许昌路,Changyang Road Xuchang Road
长阳路辽阳路,Changyang Road Liaoyang Road
